Index,Number,Type
203,472533,Odd
204,29854,Even
205,679252,Even
206,73822,Even
207,436015,Odd
208,497207,Odd
209,942383,Odd
210,775781,Odd
211,518236,Even
212,112717,Odd
213,290531,Odd
214,708224,Even
215,525987,Odd
216,189047,Odd
217,420437,Odd
218,869999,Odd
219,592969,Odd
220,290613,Odd
221,579692,Even
222,722558,Even
223,186702,Even
224,590732,Even
225,388509,Odd
226,487615,Odd
227,279348,Even
228,161704,Even
229,73089,Odd
230,998318,Even
231,172785,Odd
232,583126,Even
233,151741,Odd
234,404747,Odd
235,687679,Odd
236,72352,Even
237,299292,Even
238,435450,Even
239,405753,Odd
240,744392,Even
241,133415,Odd
242,572829,Odd
243,908324,Even
244,973186,Even
245,597981,Odd
246,645861,Odd
247,636460,Even
248,455872,Even
249,368349,Odd
250,850242,Even
251,334560,Even
252,998242,Even
253,857682,Even
254,492142,Even
255,645025,Odd
256,338655,Odd
257,967108,Even
258,541146,Even
259,536744,Even
260,899319,Odd
261,171103,Odd
262,201536,Even
263,811214,Even
264,645554,Even
265,365761,Odd
266,524310,Even
267,221102,Even
268,720452,Even
269,730824,Even
270,191181,Odd
271,990114,Even
272,545754,Even
273,469445,Odd
274,930361,Odd
275,491890,Even
276,855912,Even
277,39192,Even
278,750445,Odd
279,986963,Odd
280,311099,Odd
281,382303,Odd
282,661698,Even
283,552976,Even
284,740426,Even
285,292438,Even
286,995874,Even
287,475157,Odd
288,749526,Even
289,134810,Even
290,740816,Even
291,107991,Odd
292,850223,Odd
293,955138,Even
294,5358,Even
295,626274,Even
296,205099,Odd
297,685611,Odd
298,256251,Odd
299,26895,Odd
300,756973,Odd
301,691882,Even
302,380956,Even
303,91120,Even
304,713247,Odd
305,113131,Odd
306,524357,Odd
307,284743,Odd
308,727889,Odd
309,25288,Even
310,342109,Odd
311,419144,Even
312,573185,Odd
313,983523,Odd
314,358138,Even
315,539517,Odd
316,175071,Odd
317,659335,Odd
318,169988,Even
319,978759,Odd
320,714750,Even
321,597627,Odd
322,797906,Even
323,297772,Even
324,420700,Even
325,783804,Even
326,495805,Odd
327,696094,Even
328,822443,Odd
329,935236,Even
330,271092,Even
331,3093,Odd
332,995420,Even
333,101647,Odd
334,317596,Even
335,664908,Even
336,993864,Even
337,355547,Odd
338,769921,Odd
339,632590,Even
340,251644,Even
341,146168,Even
342,183999,Odd
343,630683,Odd
344,194291,Odd
345,3163,Odd
346,686901,Odd
347,995838,Even
348,331999,Odd
349,307944,Even
350,34630,Even
351,603163,Odd
352,761881,Odd
353,365315,Odd
354,573304,Even
355,483054,Even
356,501702,Even
357,176762,Even
358,338091,Odd
359,902243,Odd
360,231561,Odd
361,411845,Odd
362,96875,Odd
363,696788,Even
364,539054,Even
365,746989,Odd
366,708264,Even
367,824041,Odd
368,782274,Even
369,253019,Odd
370,89105,Odd
371,219424,Even
372,183406,Even
373,58814,Even
374,396889,Odd
375,251354,Even
376,66435,Odd
377,202712,Even
378,112174,Even
379,823124,Even
380,703228,Even
381,471733,Odd
382,989924,Even
383,698518,Even
384,636417,Odd
385,156830,Even
386,712083,Odd
387,883087,Odd
388,720970,Even
389,296970,Even
390,555922,Even
391,26166,Even
392,609712,Even
393,580507,Odd
394,640088,Even
395,293986,Even
396,993390,Even
397,576803,Odd
398,271844,Even
399,346344,Even
400,249658,Even
401,82256,Even
402,339789,Odd
403,378372,Even
404,66222,Even
405,714572,Even
406,352262,Even
407,862578,Even
408,513443,Odd
409,340018,Even
410,245606,Even
411,77658,Even
412,767903,Odd
413,478229,Odd
414,73180,Even
415,289943,Odd
416,393576,Even
417,102823,Odd
418,485039,Odd
419,427218,Even
420,703524,Even
421,679006,Even
422,41186,Even
423,4386,Even
424,145729,Odd
425,85699,Odd
426,258374,Even
427,93360,Even
428,3799,Odd
429,124360,Even
430,53580,Even
431,537947,Odd
432,710554,Even
433,142844,Even
434,614681,Odd
435,282892,Even
436,735655,Odd
437,346134,Even
438,875447,Odd
439,597260,Even
440,100087,Odd
441,257750,Even
442,577421,Odd
443,231666,Even
444,697198,Even
445,76338,Even
446,819796,Even
447,776486,Even
448,932181,Odd
449,20914,Even
450,326251,Odd
451,281867,Odd
452,216982,Even
453,337865,Odd
454,677413,Odd
455,752724,Even
456,921143,Odd
457,871058,Even
458,950489,Odd
459,923489,Odd
460,888034,Even
461,752389,Odd
462,311316,Even
463,148998,Even
464,818193,Odd
465,61647,Odd
466,474957,Odd
467,186038,Even
468,62577,Odd
469,212644,Even
470,970835,Odd
471,588018,Even
472,155789,Odd
473,119040,Even
474,573670,Even
475,903441,Odd
476,968159,Odd
477,520363,Odd
478,544291,Odd
479,124174,Even
480,973244,Even
481,123206,Even
482,742577,Odd
483,381350,Even
484,423408,Even
485,229853,Odd
486,836381,Odd
487,311670,Even
488,937298,Even
489,474009,Odd
490,201208,Even
491,403299,Odd
492,994656,Even
493,769655,Odd
494,91669,Odd
495,487291,Odd
496,630301,Odd
497,758585,Odd
498,240523,Odd
499,425503,Odd
500,787285,Odd
501,108486,Even
502,633303,Odd
503,229149,Odd
504,748116,Even
505,891833,Odd
506,712733,Odd
507,743604,Even
508,793311,Odd
509,566495,Odd
510,946890,Even
511,209997,Odd
512,535666,Even
513,561536,Even
514,969589,Odd
515,838428,Even
516,510955,Odd
517,774715,Odd
518,980841,Odd
519,153770,Even
520,229071,Odd
521,812114,Even
522,505614,Even
523,58648,Even
524,972934,Even
525,295884,Even
526,325430,Even
527,512138,Even
528,212521,Odd
529,788130,Even
530,189349,Odd
531,148873,Odd
532,857385,Odd
533,691212,Even
534,755261,Odd
535,225627,Odd
536,245664,Even
537,301009,Odd
538,206345,Odd
539,840466,Even
540,11576,Even
541,194908,Even
542,293742,Even
543,34748,Even
544,340367,Odd
545,177391,Odd
546,317704,Even
547,689524,Even
548,462007,Odd
549,933329,Odd
550,929988,Even
551,288725,Odd
552,2356,Even
553,503929,Odd
554,7714,Even
555,169050,Even
556,575444,Even
557,213237,Odd
558,981249,Odd
559,19818,Even
560,403492,Even
561,94960,Even
562,768951,Odd
563,408448,Even
564,655914,Even
565,524474,Even
566,8741,Odd
567,840453,Odd
568,916666,Even
569,244184,Even
570,723470,Even
571,369373,Odd
572,429659,Odd
573,672892,Even
574,994039,Odd
575,295743,Odd
576,692761,Odd
577,928615,Odd
578,48743,Odd
579,809131,Odd
580,178725,Odd
581,325307,Odd
582,111423,Odd
583,747669,Odd
584,764758,Even
585,993534,Even
586,272739,Odd
587,386482,Even
588,558761,Odd
589,655699,Odd
590,312238,Even
591,278972,Even
592,465891,Odd
593,467450,Even
594,272777,Odd
595,74638,Even
596,406135,Odd
597,509199,Odd
598,232852,Even
599,230385,Odd
600,802766,Even
601,508506,Even
602,513771,Odd
603,54207,Odd
604,656575,Odd
605,765836,Even
606,707647,Odd
607,171352,Even
608,408566,Even
609,703480,Even
610,655933,Odd
611,528825,Odd
612,939635,Odd
613,799011,Odd
614,337427,Odd
615,468678,Even
616,694151,Odd
617,990034,Even
618,986524,Even
619,930393,Odd
620,952945,Odd
621,92064,Even
622,618118,Even
623,364387,Odd
624,806836,Even
625,419534,Even
626,852266,Even
627,770545,Odd
628,559410,Even
629,804077,Odd
630,937042,Even
631,51868,Even
632,725990,Even
633,635463,Odd
634,776769,Odd
635,49591,Odd
636,187676,Even
637,644502,Even
638,85477,Odd
639,90770,Even
640,26251,Odd
641,605251,Odd
642,500919,Odd
643,89705,Odd
644,927947,Odd
645,60904,Even
646,111125,Odd
647,901742,Even
648,558212,Even
649,480106,Even
650,4540,Even
651,50913,Odd
652,273931,Odd
653,445596,Even
654,89796,Even
655,461504,Even
656,113096,Even
657,567273,Odd
658,123368,Even
659,967351,Odd
660,905917,Odd
661,765357,Odd
662,495253,Odd
663,15019,Odd
664,55108,Even
665,853646,Even
666,346667,Odd
667,200607,Odd
668,204036,Even
669,290331,Odd
670,942968,Even
671,150710,Even
672,526451,Odd
673,259131,Odd
674,867298,Even
675,308271,Odd
676,363969,Odd
677,786601,Odd
678,527589,Odd
679,707814,Even
680,779730,Even
681,56495,Odd
682,884420,Even
683,648457,Odd
684,288706,Even
685,202771,Odd
686,144342,Even
687,839295,Odd
688,591113,Odd
689,977788,Even
690,233098,Even
691,800294,Even
692,17366,Even
693,847540,Even
694,730307,Odd
695,452667,Odd
696,564367,Odd
697,206365,Odd
698,571325,Odd
699,404296,Even
700,509325,Odd
701,642647,Odd
702,722794,Even
703,906383,Odd
704,405434,Even
705,882239,Odd
706,407946,Even
707,695138,Even
708,104913,Odd
709,274703,Odd
710,100735,Odd
711,671082,Even
712,740574,Even
713,899591,Odd
714,810734,Even
715,481612,Even
716,114696,Even
717,175967,Odd
718,45862,Even
719,456760,Even
720,47756,Even
721,444947,Odd
722,799697,Odd
723,838192,Even
724,668790,Even
725,302673,Odd
726,882168,Even
727,283367,Odd
728,327969,Odd
729,261757,Odd
730,956467,Odd
731,347574,Even
732,564312,Even
733,286104,Even
734,841295,Odd
735,502039,Odd
736,337742,Even
737,726333,Odd
738,32208,Even
739,948082,Even
740,761346,Even
741,499669,Odd
742,260791,Odd
743,647927,Odd
744,229642,Even
745,326124,Even
746,909929,Odd
747,235536,Even
748,355806,Even
749,433669,Odd
750,630788,Even
751,332695,Odd
752,694016,Even
753,990961,Odd
754,387702,Even
755,861356,Even
756,2684,Even
757,833221,Odd
758,979280,Even
759,873232,Even
760,783086,Even
761,528841,Odd
762,364918,Even
763,724485,Odd
764,178742,Even
765,538293,Odd
766,645207,Odd
767,726399,Odd
768,897315,Odd
769,50557,Odd
770,54119,Odd
771,615828,Even
772,933320,Even
773,12099,Odd
774,259968,Even
775,484930,Even
776,629819,Odd
777,122594,Even
778,675637,Odd
779,20363,Odd
780,280640,Even
781,692679,Odd
782,982908,Even
783,88769,Odd
784,760453,Odd
785,174373,Odd
786,577676,Even
787,512781,Odd
788,939925,Odd
789,277817,Odd
790,150947,Odd
791,575661,Odd
792,446476,Even
793,147324,Even
794,685903,Odd
795,457774,Even
796,985716,Even
797,526170,Even
798,961553,Odd
799,927922,Even
800,446206,Even
801,601857,Odd
802,678003,Odd
803,673519,Odd
804,128589,Odd
805,325394,Even
806,797894,Even
807,86292,Even
808,918771,Odd
809,614031,Odd
810,833568,Even
811,397311,Odd
812,100866,Even
813,420503,Odd
814,531528,Even
815,313216,Even
816,894834,Even
817,927911,Odd
818,583155,Odd
819,658639,Odd
820,895041,Odd
821,911481,Odd
822,64313,Odd
823,369336,Even
824,989192,Even
825,54718,Even
826,181694,Even
827,309548,Even
828,351537,Odd
829,506007,Odd
830,446068,Even
831,860021,Odd
832,423159,Odd
833,575990,Even
834,303255,Odd
835,368485,Odd
836,363439,Odd
837,138940,Even
838,704282,Even
839,352408,Even
840,6370,Even
841,550411,Odd
842,678299,Odd
843,94844,Even
844,522628,Even
845,64103,Odd
846,405599,Odd
847,107617,Odd
848,64753,Odd
849,504038,Even
850,301029,Odd
851,588922,Even
852,474026,Even
853,271432,Even
854,177849,Odd
855,973437,Odd
856,156455,Odd
857,585147,Odd
858,945899,Odd
859,616350,Even
860,35510,Even
861,91825,Odd
862,904504,Even
863,556664,Even
864,401791,Odd
865,93432,Even
866,494595,Odd
867,833061,Odd
868,28018,Even
869,854455,Odd
870,945354,Even
871,384260,Even
872,326059,Odd
873,349254,Even
874,40186,Even
875,214480,Even
876,733729,Odd
877,123710,Even
878,113881,Odd
879,420650,Even
880,952740,Even
881,360247,Odd
882,204281,Odd
883,46397,Odd
884,745692,Even
885,458300,Even
886,528381,Odd
887,495553,Odd
888,275338,Even
889,885033,Odd
890,373201,Odd
891,317792,Even
892,598269,Odd
893,378773,Odd
894,844198,Even
895,366329,Odd
896,686530,Even
897,294944,Even
898,836516,Even
899,578966,Even
900,782233,Odd
901,301683,Odd
902,62566,Even
903,523729,Odd
904,67251,Odd
905,173080,Even
906,55580,Even
907,419916,Even
908,620644,Even
909,711583,Odd
910,278246,Even
911,661470,Even
912,263680,Even
913,600094,Even
914,454213,Odd
915,205185,Odd
916,602494,Even
917,396834,Even
918,711893,Odd
919,81958,Even
920,161993,Odd
921,268783,Odd
922,169441,Odd
923,136758,Even
924,807741,Odd
925,771631,Odd
926,8863,Odd
927,858692,Even
928,738617,Odd
929,45679,Odd
930,196474,Even
931,427411,Odd
932,868070,Even
933,297595,Odd
934,465197,Odd
935,795007,Odd
936,288090,Even
937,857187,Odd
938,230580,Even
939,32305,Odd
940,957440,Even
941,937387,Odd
942,710104,Even
943,988239,Odd
944,838013,Odd
945,912949,Odd
946,446699,Odd
947,751287,Odd
948,226052,Even
949,880008,Even
950,577705,Odd
951,135912,Even
952,381572,Even
953,834223,Odd
954,77298,Even
955,438931,Odd
956,332064,Even
957,898618,Even
958,205998,Even
959,396562,Even
960,386883,Odd
961,968519,Odd
962,475083,Odd
963,67416,Even
964,583562,Even
965,534767,Odd
966,721214,Even
967,153026,Even
968,43166,Even
969,798069,Odd
970,627857,Odd
971,93474,Even
972,169608,Even
973,361575,Odd
974,640261,Odd
975,530705,Odd
976,954448,Even
977,141883,Odd
978,417589,Odd
979,304956,Even
980,666106,Even
981,588119,Odd
982,527399,Odd
983,113394,Even
984,53427,Odd
985,596301,Odd
986,414406,Even
987,811720,Even
988,558018,Even
989,557281,Odd
990,920328,Even
991,903425,Odd
992,875453,Odd
993,294460,Even
994,949686,Even
995,135008,Even
996,671601,Odd
997,93187,Odd
998,996368,Even
999,497877,Odd
1000,3217,Odd
1001,348892,Even
1002,556584,Even
1003,361709,Odd
1004,951247,Odd
1005,616030,Even
1006,198050,Even
1007,190449,Odd
1008,210449,Odd
1009,996377,Odd
1010,954467,Odd
1011,305532,Even
1012,644182,Even
1013,195808,Even
1014,207785,Odd
1015,901841,Odd
1016,520724,Even
1017,495042,Even
1018,293341,Odd
1019,638567,Odd
1020,333890,Even
1021,774446,Even
1022,374371,Odd
1023,886718,Even
1024,241445,Odd
1025,981394,Even
1026,750527,Odd
1027,146755,Odd
1028,430174,Even
1029,598784,Even
1030,161917,Odd
1031,965364,Even
1032,762799,Odd
1033,147256,Even
1034,510643,Odd
1035,916460,Even
1036,170526,Even
1037,728244,Even
1038,830766,Even
1039,752082,Even
1040,599893,Odd
1041,207265,Odd
1042,76983,Odd
1043,247513,Odd
1044,120958,Even
1045,484102,Even
1046,202562,Even
1047,231749,Odd
1048,905074,Even
1049,378088,Even
1050,2410,Even
1051,423132,Even
1052,578829,Odd
1053,594446,Even
1054,503889,Odd
1055,688452,Even
1056,816100,Even
1057,665902,Even
1058,20343,Odd
1059,548372,Even
1060,493281,Odd
1061,542104,Even
1062,600360,Even
1063,728982,Even
1064,944217,Odd
1065,462568,Even
1066,857123,Odd
1067,479141,Odd
1068,724380,Even
1069,805,Odd
1070,346728,Even
1071,364523,Odd
1072,149519,Odd
1073,852905,Odd
1074,296555,Odd
1075,663011,Odd
1076,888328,Even
1077,772097,Odd
1078,257993,Odd
1079,139109,Odd
1080,230634,Even
1081,356288,Even
1082,455289,Odd
1083,883623,Odd
1084,912380,Even
1085,584838,Even
1086,398875,Odd
1087,440686,Even
1088,801775,Odd
1089,751479,Odd
1090,12927,Odd
1091,651951,Odd
1092,894710,Even
1093,709238,Even
1094,832430,Even
1095,646775,Odd
1096,974249,Odd
1097,516640,Even
1098,12811,Odd
1099,313149,Odd
1100,20397,Odd
1101,858987,Odd
1102,674483,Odd
1103,468186,Even
1104,150336,Even
1105,130301,Odd
1106,156968,Even
1107,522051,Odd
1108,293569,Odd
1109,631607,Odd
1110,492005,Odd
1111,717466,Even
1112,393424,Even
1113,978197,Odd
1114,872593,Odd
1115,117489,Odd
1116,853833,Odd
1117,172697,Odd
1118,300425,Odd
1119,104161,Odd
1120,393725,Odd
1121,896163,Odd
1122,842737,Odd
1123,690545,Odd
1124,949739,Odd
1125,483580,Even
1126,423896,Even
1127,229867,Odd
1128,4413,Odd
1129,266661,Odd
1130,979918,Even
1131,17500,Even
1132,971447,Odd
1133,753133,Odd
1134,211535,Odd
1135,567075,Odd
1136,808529,Odd
1137,98971,Odd
1138,331203,Odd
1139,415814,Even
1140,862217,Odd
1141,309860,Even
1142,82353,Odd
1143,632253,Odd
1144,868851,Odd
1145,349908,Even
1146,744285,Odd
1147,846101,Odd
1148,34721,Odd
1149,876872,Even
1150,390740,Even
1151,440542,Even
1152,323195,Odd
1153,756750,Even
1154,74771,Odd
1155,251389,Odd
1156,728014,Even
1157,352359,Odd
1158,535891,Odd
1159,220968,Even
1160,429580,Even
1161,137495,Odd
1162,534076,Even
1163,664863,Odd
1164,882531,Odd
1165,952500,Even
1166,547169,Odd
1167,47421,Odd
1168,624286,Even
1169,434079,Odd
1170,200889,Odd
1171,944872,Even
1172,893997,Odd
1173,640825,Odd
1174,476032,Even
1175,957569,Odd
1176,459720,Even
1177,847117,Odd
1178,920011,Odd
1179,909728,Even
1180,17230,Even
1181,885187,Odd
1182,386693,Odd
1183,867748,Even
1184,747199,Odd
1185,608810,Even
1186,406798,Even
1187,923506,Even
1188,643762,Even
1189,903572,Even
1190,611834,Even
1191,823130,Even
1192,170891,Odd
1193,105874,Even
1194,979435,Odd
1195,730171,Odd
1196,708932,Even
1197,884619,Odd
1198,115572,Even
1199,387187,Odd
1200,690252,Even
1201,486175,Odd
1202,3359,Odd
1203,375722,Even
1204,787510,Even
1205,858412,Even
1206,237575,Odd
1207,147891,Odd
1208,809933,Odd
1209,972246,Even
1210,933443,Odd
1211,996936,Even
1212,603726,Even
1213,694733,Odd
1214,575591,Odd
1215,422857,Odd
1216,715160,Even
1217,732940,Even
1218,58094,Even
1219,68769,Odd
1220,899164,Even
1221,792910,Even
1222,554965,Odd
1223,214850,Even
1224,540444,Even
1225,700556,Even
1226,551911,Odd
1227,325341,Odd
1228,361975,Odd
1229,289061,Odd
1230,454768,Even
1231,823264,Even
1232,792611,Odd
1233,938964,Even
1234,182746,Even
1235,519582,Even
1236,675865,Odd
1237,559555,Odd
1238,101348,Even
1239,364913,Odd
1240,827093,Odd
1241,429410,Even
1242,98352,Even
1243,207248,Even
1244,305847,Odd
1245,647881,Odd
1246,725139,Odd
1247,633471,Odd
1248,686288,Even
1249,498721,Odd
1250,264171,Odd
1251,493923,Odd
1252,892469,Odd
1253,803009,Odd
1254,143413,Odd
1255,167088,Even
1256,87800,Even
1257,80010,Even
1258,327467,Odd
1259,812596,Even
1260,382702,Even
1261,771305,Odd
1262,692022,Even
1263,733413,Odd
1264,245062,Even
1265,606313,Odd
1266,933260,Even
1267,182487,Odd
1268,56455,Odd
1269,692170,Even
1270,184463,Odd
1271,916158,Even
1272,655936,Even
1273,256828,Even
1274,938418,Even
1275,72106,Even
1276,386461,Odd
1277,11413,Odd
1278,381900,Even
1279,302717,Odd
1280,141887,Odd
1281,399258,Even
1282,146719,Odd
1283,195223,Odd
1284,410289,Odd
1285,867355,Odd
1286,493587,Odd
1287,209427,Odd
1288,883355,Odd
1289,251818,Even
1290,35543,Odd
1291,433780,Even
1292,530762,Even
1293,811114,Even
1294,432652,Even
1295,764132,Even
1296,930987,Odd
1297,691107,Odd
1298,755383,Odd
1299,470492,Even
1300,113835,Odd
1301,978028,Even
1302,547632,Even
1303,805467,Odd
1304,628120,Even
1305,95659,Odd
1306,160064,Even
1307,662917,Odd
1308,592838,Even
1309,837880,Even
1310,607013,Odd
1311,561511,Odd
1312,144066,Even
1313,488974,Even
1314,859066,Even
1315,664845,Odd
1316,365358,Even
1317,623004,Even
1318,576512,Even
1319,877273,Odd
1320,982144,Even
1321,394810,Even
1322,880236,Even
1323,431633,Odd
1324,32193,Odd
1325,637190,Even
1326,742814,Even
1327,58522,Even
1328,707730,Even
1329,523398,Even
1330,575320,Even
1331,912531,Odd
1332,176552,Even
1333,958723,Odd
1334,491132,Even
1335,213808,Even
1336,475266,Even
1337,388176,Even
1338,793538,Even
1339,820446,Even
1340,495431,Odd
1341,973021,Odd
1342,439973,Odd
1343,529341,Odd
1344,372139,Odd
1345,823844,Even
1346,731669,Odd
1347,236208,Even
1348,788378,Even
1349,105176,Even
1350,61402,Even
1351,163799,Odd
1352,161771,Odd
1353,475854,Even
1354,652089,Odd
1355,64208,Even
1356,715027,Odd
1357,196961,Odd
1358,889625,Odd
1359,165542,Even
1360,634769,Odd
1361,223005,Odd
1362,536136,Even
1363,868920,Even
1364,780988,Even
1365,573976,Even
1366,354794,Even
1367,901238,Even
1368,775145,Odd
1369,212651,Odd
1370,415676,Even
1371,538085,Odd
1372,288429,Odd
1373,958080,Even
1374,183184,Even
1375,45916,Even
1376,210852,Even
1377,454586,Even
1378,513655,Odd
1379,694181,Odd
1380,861694,Even
1381,299266,Even
1382,970854,Even
1383,342366,Even
1384,504653,Odd
1385,766477,Odd
1386,823651,Odd
1387,934516,Even
1388,354835,Odd
1389,140381,Odd
1390,366179,Odd
1391,207805,Odd
1392,94041,Odd
1393,717249,Odd
1394,660461,Odd
1395,415847,Odd
1396,588054,Even
1397,605665,Odd
1398,931935,Odd
1399,236129,Odd
1400,22343,Odd
1401,480963,Odd
1402,856270,Even
1403,332251,Odd
1404,841709,Odd
1405,759274,Even
1406,953107,Odd
1407,495874,Even
1408,937099,Odd
1409,445113,Odd
1410,155847,Odd
1411,784224,Even
1412,913072,Even
1413,786745,Odd
1414,601744,Even
1415,918235,Odd
1416,189974,Even
1417,434665,Odd
1418,563594,Even
1419,474716,Even
1420,686988,Even
1421,897833,Odd
1422,356224,Even
1423,27538,Even
1424,649733,Odd
1425,489110,Even
1426,944286,Even
1427,806104,Even
1428,755277,Odd
1429,188160,Even
1430,712072,Even
1431,156874,Even
1432,558942,Even
1433,260664,Even
1434,793442,Even
1435,97034,Even
1436,811451,Odd
1437,136434,Even
1438,338591,Odd
1439,594537,Odd
1440,24763,Odd
1441,720855,Odd
1442,971760,Even
1443,998073,Odd
1444,199694,Even
1445,813421,Odd
1446,354320,Even
1447,928869,Odd
1448,175742,Even
1449,369186,Even
1450,151645,Odd
1451,502304,Even
1452,956194,Even
1453,903511,Odd
1454,223179,Odd
1455,339197,Odd
1456,726225,Odd
1457,100806,Even
1458,950916,Even
1459,215668,Even
1460,825523,Odd
1461,112864,Even
1462,334043,Odd
1463,634023,Odd
1464,514689,Odd
1465,613387,Odd
1466,98590,Even
1467,648674,Even
1468,437616,Even
1469,673432,Even
1470,605572,Even
1471,53798,Even
1472,469710,Even
1473,774719,Odd
1474,377219,Odd
1475,630671,Odd
1476,205122,Even
1477,520666,Even
1478,938123,Odd
1479,753202,Even
1480,482225,Odd
1481,315242,Even
1482,640676,Even
1483,778754,Even
1484,927763,Odd
1485,715134,Even
1486,551575,Odd
1487,247435,Odd
1488,429280,Even
1489,811609,Odd
1490,867580,Even
1491,131641,Odd
1492,858552,Even
1493,195667,Odd
1494,58240,Even
1495,952526,Even
1496,193779,Odd
1497,3277,Odd
1498,303558,Even
1499,463435,Odd
1500,280690,Even
1501,168249,Odd
1502,311878,Even
1503,185416,Even
1504,501863,Odd
1505,209448,Even
1506,713910,Even
1507,517798,Even
1508,197574,Even
1509,118051,Odd
1510,563840,Even
1511,739932,Even
1512,495198,Even
1513,289781,Odd
1514,542810,Even
1515,242652,Even
1516,431264,Even
1517,583596,Even
1518,485573,Odd
1519,583800,Even
1520,358733,Odd
1521,629013,Odd
1522,743018,Even
1523,432988,Even
1524,355714,Even
1525,538464,Even
1526,657060,Even
1527,541368,Even
1528,532214,Even
1529,314246,Even
1530,721350,Even
1531,933584,Even
1532,566,Even
1533,546065,Odd
1534,888637,Odd
1535,827809,Odd
1536,284051,Odd
1537,657622,Even
1538,590291,Odd
1539,221356,Even
1540,876547,Odd
1541,601828,Even
1542,53485,Odd
1543,109698,Even
1544,798297,Odd
1545,566601,Odd
1546,437240,Even
1547,504320,Even
1548,347376,Even
1549,619974,Even
1550,325118,Even
1551,509491,Odd
1552,599595,Odd
1553,362955,Odd
1554,235556,Even
1555,508865,Odd
1556,255781,Odd
1557,834132,Even
1558,319591,Odd
1559,230952,Even
1560,616262,Even
1561,269440,Even
1562,935506,Even
1563,20668,Even
1564,855263,Odd
1565,683287,Odd
1566,671644,Even
1567,817991,Odd
1568,210047,Odd
1569,216286,Even
1570,440749,Odd
1571,217478,Even
1572,558984,Even
1573,738425,Odd
1574,786176,Even
1575,310284,Even
1576,688389,Odd
1577,712395,Odd
